Exercise_Name,Description_URL,Exercise_Image,Exercise_Image1,muscle_gp_details,muscle_gp,equipment_details,Equipment,Rating,Description
Straight-bar wrist roll-up,"Sit on a bench with your forearms resting on your thighs and hold a straight barbell with an overhand grip, palms facing down.
Allow the barbell to roll down to your fingertips.
Use your wrist muscles to roll the barbell back up towards your palms.
Repeat for the desired number of repetitions.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-116s-straight-bar-wrist-roll-up-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-116s-straight-bar-wrist-roll-up-m3-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/forearms,Forearms,https://www.bodybuilding.com/exercises/finder,,9.5,Average
Barbell glute bridge,"Lie on your back with your knees bent and feet flat on the ground, hip-width apart.
Place a barbell across your hips and hold it securely with both hands.
Press through your heels and squeeze your glutes to lift your hips towards the ceiling until your body forms a straight line from shoulders to knees.
Hold for a moment at the top, then lower your hips back down.
Repeat for the desired number of repetitions.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-114s-barbell-glute-bridge-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-114s-barbell-glute-bridge-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/glutes,Glutes,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.4,Average
Clean and press,"Start with a barbell on the ground, feet shoulder-width apart.
Squat down and grip the barbell with hands slightly wider than shoulder-width apart, palms facing towards you.
Explosively lift the barbell to your shoulders by extending your hips, knees, and ankles.
Once the barbell reaches shoulder height, press it overhead by extending your arms.
Lower the barbell back to your shoulders, then to the ground in a controlled manner.
Repeat for the desired number of repetitions.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-27b-clean-and-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-27b-clean-and-press-m5-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.4,Average
Triceps dip,"Position yourself between parallel bars or on a dip station with your arms fully extended and your feet off the ground.
Lower your body by bending your elbows until your upper arms are parallel to the ground.
Press through your palms to extend your arms and return to the starting position.
Keep your chest up and your shoulders down throughout the movement.
Repeat for the desired number of repetitions.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1m-triceps-dip-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1m-triceps-dip-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.4,Average
Dumbbell farmer's walk,"Hold a heavy dumbbell in each hand at your sides.
Keep your chest up, shoulders back, and core engaged.
Walk forward in a controlled manner for a set distance or time, maintaining an upright posture.
Focus on keeping your grip tight and your shoulders stable throughout the exercise.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30d-dumbbell-farmers-walk-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30d-dumbbell-farmers-walk-m5-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/forearms,Forearms,https://www.bodybuilding.com/exercises/equipment/other,Other,9.4,Average
Palms-up wrist curl over bench,"Sit on a bench with your forearms resting on your thighs, palms facing up, and hold a dumbbell in each hand.
Allow the dumbbells to roll down to your fingertips.
Use your wrist muscles to curl the dumbbells back up towards your palms.
Repeat for the desired number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/forearms,Forearms,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.4,Average
Barbell Full Squat,"Stand with your feet slightly wider than shoulder-width apart, toes pointing slightly outward.
Rest a barbell on your upper back and shoulders, gripping it with your hands wider than shoulder-width apart.
Keeping your chest up and your back straight, push your hips back and bend your knees to lower into a squat.
Lower down until your thighs are parallel to the ground or lower, then push through your heels to return to the starting position.
Keep your core engaged and maintain a neutral spine throughout the movement.
Repeat for the desired number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.4,Average
Barbell deficit deadlift,"Stand on a raised platform or plates with a barbell on the ground in front of you.
Position your feet hip-width apart and grip the barbell with hands shoulder-width apart, palms facing towards you.
Keeping your back flat and chest up, push through your heels and lift the barbell by extending your hips and knees.
Once the barbell passes your knees, drive your hips forward to stand up straight.
Lower the barbell back to the ground in a controlled manner.
Repeat for the desired number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/lower-back,Lower Back,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.4,Average
Barbell Deadlift,"Stand with your feet hip-width apart, toes under the barbell.
Bend at your hips and knees to grip the barbell with hands shoulder-width apart, palms facing towards you.
Keep your back flat, chest up, and core engaged as you push through your heels to lift the barbell by extending your hips and knees.
Stand up straight, then reverse the movement to lower the barbell back to the ground.
Keep the barbell close to your body throughout the movement.
Repeat for the desired number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Hamstrings,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.4,Average
Single-arm palm-in dumbbell shoulder press,"Start by holding a dumbbell in one hand at shoulder height, palm facing inward.
Stand with your feet shoulder-width apart and engage your core for stability.
Press the dumbbell overhead until your arm is fully extended.
Lower the dumbbell back to shoulder height with control.
Repeat for the desired number of repetitions, then switch sides and repeat with the other arm.",,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.4,Average
Romanian Deadlift With Dumbbells,"Begin by holding a dumbbell in each hand in front of your thighs, palms facing your body.
Stand with your feet hip-width apart and a slight bend in your knees.
Keeping your back straight and chest up, hinge at your hips to lower the dumbbells towards the ground while keeping them close to your body.
Lower until you feel a stretch in your hamstrings or until your torso is parallel to the ground.
Engage your hamstrings and glutes to return to the starting position, squeezing your glutes at the top.
Repeat for the desired number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Hamstrings,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.4,Average
Tire flip,"Stand in front of a large tire with your feet shoulder-width apart and toes under the tire.
Squat down and grip the bottom edge of the tire with both hands.
Drive through your legs and hips, explosively flipping the tire over onto its other side.
Step back and reset your position, then repeat for the desired number of repetitions",,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/other,Other,9.4,Average
Clean Deadlift,"Start with a barbell on the ground, feet hip-width apart and toes under the bar.
Bend at your knees and hips, keeping your back straight and chest up, to grip the barbell with an overhand grip.
Lift the barbell by extending your hips and knees, keeping the bar close to your body.
Once the barbell reaches knee height, explosively extend your hips and shrug your shoulders, pulling the barbell upward.
Allow the bar to travel upward as you shrug, then lower it back down to the starting position.
Repeat for the desired number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Hamstrings,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.4,Average
Elbow plank,"Begin by lying face down on the ground.
Prop yourself up onto your forearms, keeping your elbows directly beneath your shoulders.
Engage your core and lift your body off the ground, forming a straight line from your head to your heels.
Hold this position, making sure to keep your core tight and avoid sagging or arching your back.
Aim to hold for a specific amount of time, gradually increasing the duration as you build strength.",,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.3,Average
Bottoms Up,"Hold a kettlebell upside down by the handle, with the bell pointing towards the ceiling.
Stand with your feet shoulder-width apart and the kettlebell resting on the back of your wrist.
Keep your core engaged and press the kettlebell overhead until your arm is fully extended.
Lower the kettlebell back down to the starting position with control.
Repeat for the desired number of repetitions.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-63a-lying-leg-lift-m2-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.3,Average
Barbell back squat to box,"Start by placing a box or bench behind you at a height where your thighs are parallel to the ground when seated.
Stand with your feet shoulder-width apart and a barbell across your upper back and shoulders, gripping it with an overhand grip.
Engage your core, push your hips back, and bend your knees to lower yourself onto the box or bench.
Once seated, pause for a moment, then drive through your heels to stand back up to the starting position.
Repeat for the desired number of repetitions.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-72e-barbell-back-squat-to-box-m2-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,Average
Clean and jerk,"Begin with a barbell on the ground, feet hip-width apart and toes under the bar.
Bend at your knees and hips to grip the barbell with an overhand grip, hands slightly wider than shoulder-width apart.
Lift the barbell by extending your hips and knees, keeping it close to your body.
Once the barbell reaches hip height, explosively extend your hips, shrug your shoulders, and pull the barbell upward.
As the barbell reaches chest height, quickly drop into a partial squat and catch the barbell on your shoulders.
From the squat position, explosively drive the barbell overhead, fully extending your arms.
Lower the barbell back to your shoulders, then to the ground, to complete one repetition.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26b-clean-and-jerk-m1-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,Average
Single-arm kettlebell push-press,"Begin by holding a kettlebell in one hand at shoulder height, palm facing inward.
Stand with your feet shoulder-width apart and a slight bend in your knees.
Dip at the knees, then explosively drive through your legs to press the kettlebell overhead.
Fully extend your arm at the top of the movement, then lower the kettlebell back to shoulder height with control.
Repeat for the desired number of repetitions, then switch sides and repeat with the other arm.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-67k-single-arm-kettlebell-push-press-m2-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-67k-single-arm-kettlebell-push-press-m3-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/kettlebells,Kettlebells,9.3,Average
Push-press,"Start with a barbell on your shoulders, hands slightly wider than shoulder-width apart, elbows pointed forward.
Bend your knees slightly, then explosively drive through your legs to press the barbell overhead.
Lock out your arms at the top of the movement, then lower the barbell back to your shoulders with control.
Repeat for the desired number of repetitions.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-39b-push-press-m2-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,Average
Suspended ab fall-out,"Hold onto suspension straps with your arms extended, palms facing down.
Keep your body in a straight line from head to heels.
Engage your core and lean forward, extending your arms overhead.
Lower your body towards the ground while maintaining tension in your abs.
Return to the starting position by pulling yourself back up using your abs.",https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-158s-suspended-ab-fall-out-m2-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/other,Other,9.3,Average
Military press,"Stand with your feet shoulder-width apart, holding a barbell at shoulder height with an overhand grip.
Engage your core and press the barbell overhead until your arms are fully extended.
Lower the barbell back down to shoulder height with control.
Keep your back straight and avoid arching.",,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,Average
Power snatch-,"Begin with a barbell on the ground and stand with your feet hip-width apart.
Bend at the knees and hips to grip the barbell with an overhand grip slightly wider than shoulder-width.
Explosively extend your hips, knees, and ankles to lift the barbell off the ground.
Pull the barbell upwards, keeping it close to your body.
Once the bar reaches hip height, explosively pull yourself under the bar while rotating your elbows underneath.
Catch the bar in a squat position with your arms fully extended overhead.",,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,Average
Sumo deadlift,"Stand with your feet wider than shoulder-width apart and toes pointed outward.
Grip the barbell with a wide grip, hands positioned inside your legs.
Engage your core, keep your back straight, and push your hips back as you lower the barbell towards the ground.
Drive through your heels and extend your hips and knees to lift the barbell back up.
Keep the barbell close to your body throughout the movement.
Lower the barbell back down with control, maintaining a neutral spine.",,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Hamstrings,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,Average
Hang Clean,"Start with a barbell at thigh level, standing with your feet hip-width apart.
Bend at the knees and hips to lower the barbell towards the ground, keeping your back straight.
Explosively extend your hips, knees, and ankles to jump upwards.
Pull the barbell upwards with your arms, keeping it close to your body.
Catch the barbell in a front squat position with your elbows high and chest up.
Stand up to complete the lift.",,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,Average
Dumbbell V-Sit Cross Jab,"Sit on the ground with your knees bent, holding a dumbbell in each hand at shoulder height.
Lean back slightly, engage your core, and lift your feet off the ground to form a V-shape with your body.
Rotate your torso to the right while punching your left arm across your body.
Return to the starting position, then rotate your torso to the left while punching your right arm across your body.
Continue alternating sides for the desired number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.3,Average
Reverse Band Box Squat,"Set up resistance bands on a squat rack, attaching them to the barbell and the ground.
Sit back onto a box or bench while squatting, ensuring your feet are shoulder-width apart.
Keep your chest up, engage your core, and lower yourself until you lightly touch the box or bench.
Press through your heels and drive your hips forward to stand up explosively against the resistance of the bands.",https://www.bodybuilding.com/exercises/exerciseImages/sequences/753/Male/m/753_2.jpg,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/finder,,9.3,Average
Standing palms-in shoulder press,"Stand with your feet shoulder-width apart, holding dumbbells at shoulder height with your palms facing inwards.
Engage your core and press the dumbbells overhead until your arms are fully extended.
Lower the dumbbells back down to shoulder height with control.
Keep your back straight and avoid arching.",,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.3,Average
Standing cable low-to-high twist,"Attach a handle to a cable machine at waist height.
Stand sideways to the machine and hold the handle with both hands in front of your abdomen.
Keep your arms straight and rotate your torso away from the machine, pulling the handle diagonally across your body towards the opposite shoulder.
Slowly return to the starting position and repeat on the other side.",,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9.3,Average
Decline EZ-bar skullcrusher,"Lie on a decline bench, holding an EZ-bar with an overhand grip, hands slightly narrower than shoulder-width apart.
Extend your arms vertically towards the ceiling, keeping your elbows stationary.
Lower the barbell towards your forehead by bending your elbows, keeping your upper arms perpendicular to the floor.
Extend your elbows to raise the barbell back to the starting position, squeezing your triceps at the top.
Keep your core engaged and avoid arching your back throughout the movement.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47n-decline-ez-bar-skullcrusher-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47n-decline-ez-bar-skullcrusher-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/ez-curl-bar,E-Z Curl Bar,9.3,Average
Standing behind-the-back wrist curl,"Stand upright with your feet shoulder-width apart.
Hold a barbell with an overhand grip behind your back, hands shoulder-width apart.
Allow the barbell to hang down behind your buttocks.
Curl your wrists upwards towards your body while keeping your elbows stationary.
Lower the barbell back down to the starting position and repeat.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14b-standing-behind-the-back-wrist-curl-m1-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/forearms,Forearms,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,Average
Seated finger curl,"Sit on a bench with your feet flat on the ground and a barbell across your thighs.
Grip the barbell with only your fingers, palms facing up.
Curl your fingers towards your palms, lifting the barbell off your thighs.
Lower the barbell back down and repeat.",,,https://www.bodybuilding.com/exercises/muscle/forearms,Forearms,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,Average
Wide-grip barbell curl,"Stand upright with your feet shoulder-width apart, holding a barbell with a wide grip (hands placed wider than shoulder-width apart).
Keep your elbows close to your sides and curl the barbell upwards towards your shoulders.
Squeeze your biceps at the top of the movement.
Lower the barbell back down under control and repeat.",,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,Average
Dumbbell spell caster,"Stand with your feet shoulder-width apart, holding a dumbbell in each hand at your sides with palms facing inwards.
Keeping your arms straight, rotate your wrists outward and upward as if casting a spell.
Reverse the motion to return to the starting position.
Repeat for the desired number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.3,Average
Dumbbell floor press,"Lie on your back on the floor or a bench, holding a dumbbell in each hand with your elbows bent and palms facing towards your feet.
Press the dumbbells upwards until your arms are fully extended.
Lower the dumbbells back down to the starting position, keeping your elbows at a 45-degree angle.
Repeat for the desired number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.3,Average
Lying Face Down Plate Neck Resistance,"Lie face down on a bench with your head off the edge, holding a weight plate against your forehead.
Keeping your neck and spine aligned, lower your head towards the floor and then lift it back up against the resistance of the weight plate.
Control the movement and avoid straining your neck.",,,https://www.bodybuilding.com/exercises/muscle/neck,Neck,https://www.bodybuilding.com/exercises/equipment/other,Other,9.3,Average
Pullups,"Hang from a pull-up bar with your hands slightly wider than shoulder-width apart, palms facing away from you.
Engage your core and pull yourself up until your chin is above the bar.
Lower yourself back down to the starting position in a controlled manner.
Repeat for the desired number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/lats,Lats,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.2,Average
Decline reverse crunch,"Lie on a decline bench with your head at the lower end and secure your feet at the top.
Place your hands by your sides or under your glutes for support.
Contract your abs and lift your hips off the bench towards your chest.
Lower your hips back down with control and repeat.",,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/other,Other,9.2,Average
Dumbbell Bench Press,"Lie on a flat bench with a dumbbell in each hand, palms facing away from you.
Extend your arms straight up over your chest.
Lower the dumbbells down towards your chest while keeping your elbows slightly tucked in.
Press the dumbbells back up to the starting position and repeat.",,,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.2,Average
Jumping rope,"Hold the handles of a jump rope in each hand with the rope behind you.
Start with your feet together and the rope behind your heels.
Swing the rope over your head and jump over it as it comes towards your feet.
Land softly on the balls of your feet and continue jumping for the desired duration or number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.2,Average
Seated barbell shoulder press,"Sit on a bench with back support and hold a barbell at shoulder height with an overhand grip, palms facing forward.
Press the barbell upwards until your arms are fully extended overhead.
Lower the barbell back down to shoulder height and repeat for the desired number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.2,Average
EZ-bar spider curl,"Lie face down on an incline bench with your chest supported and hold an EZ-bar with an underhand grip, hands shoulder-width apart.
Allow your arms to hang straight down towards the floor.
Curl the EZ-bar upwards towards your forehead, keeping your elbows stationary.
Lower the EZ-bar back down to the starting position and repeat.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18n-barbell-spider-curl-m1-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.2,Average
Smith machine shrug,"Stand upright with your feet shoulder-width apart and position yourself under the Smith machine bar.
Grasp the bar with an overhand grip, hands slightly wider than shoulder-width apart.
Lift your shoulders towards your ears as high as possible, squeezing your traps at the top.
Lower your shoulders back down and repeat for the desired number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/traps,Traps,https://www.bodybuilding.com/exercises/equipment/machine,Machine,9.2,Average
Smith Machine Calf Raise,"Stand under the Smith machine bar with your shoulders positioned under the bar.
Place the balls of your feet on a raised platform or block with your heels hanging off the edge.
Push through the balls of your feet to raise your heels as high as possible.
Lower your heels back down below the platform and repeat.",,,https://www.bodybuilding.com/exercises/muscle/calves,Calves,https://www.bodybuilding.com/exercises/equipment/machine,Machine,9.2,Average
Romanian Deadlift from Deficit,"Stand on a raised platform or plates with your feet hip-width apart and a barbell on the ground in front of you.
Bend at the hips and knees to grip the barbell with an overhand grip, hands shoulder-width apart.
Keep your back straight as you hinge at the hips and lower the barbell towards the ground, feeling a stretch in your hamstrings.
Drive through your heels and extend your hips to return to the starting position.",,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Hamstrings,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.2,Average
